N,n,r,h,h_floor,eps_h,z_h,rho30,boost_G,boost_primes,family,z_native_i,x,y,z
268,134,9,5.746968436690483,5,4,1.3569657032565892,28,1.0153846153846153,67,shell_other,4+28i,5.219438263793312,13.676156363762235,3.2390037038754453
270,135,19,15.165322144339918,15,4,0.9846980218577864,0,2.6666666666666665,"3,5",mobius_3x5,4,22.672413604162145,0.0,3.722465184341205
272,136,7,6.094983157860754,6,1,0.36658138393473605,2,1.0666666666666667,17,shell_other,1+2i,5.2575444094224935,18.34080958535842,2.285769158095685
274,137,11,5.783572651219653,5,6,2.169077480333384,4,1.0074074074074073,137,shell_other,6+4i,3.810984022913819,20.23252654966219,4.079853119196738
276,138,16,12.085323516242765,12,4,1.1260734956570937,6,2.0952380952380953,"3,23",cone_3,4+6i,-4.1955926205215786,5.553394886178278,3.0447397596298007
278,139,7,5.837192493786607,5,2,0.4812888704054559,8,1.0072992700729928,139,shell_other,2+8i,-0.5946022144365976,21.657262173437605,2.4124743684347423
280,140,14,9.314788657081069,9,5,1.5351212490804005,10,1.5999999999999999,"5,7",ring_5,5+10i,4.137199815635694,3.226464563667652,3.0902797067065793
282,141,16,11.957020276588846,11,5,1.1692034290271722,12,2.0444444444444443,"3,47",cone_3,5+12i,-10.643708511781218,3.3738517214695394,3.1181701049843884
284,142,8,5.960442488214658,5,3,0.8354042978139834,14,1.0144927536231885,71,shell_other,3+14i,-5.560679252683544,17.18195886250024,2.799059710435494
286,143,12,7.153934202868608,7,5,1.8118274524096414,16,1.2121212121212122,"11,13",shell_other,5+16i,-5.739927560915409,14.779940733416826,3.8502427524784295
288,144,17,11.857300397782604,11,6,1.4934759918054523,18,2.0,3,cone_3,6+18i,-10.574344156455352,-3.3234555673976205,3.472105128704449
290,145,10,8.23442970420227,8,2,0.6152735567710648,20,1.382716049382716,"5,29",ring_5,2+20i,4.147225354627198,-3.209099820761097,2.449834619195832
292,146,8,6.066068092120939,6,2,0.785213103419185,22,1.0140845070422535,73,shell_other,2+22i,-0.5927620377673567,10.360245938053758,2.7879661449069304
294,147,19,14.419993142746968,14,5,1.2061007882773256,24,2.4,"3,7",cone_3,5+24i,-3.9588265710837054,-6.282085858695247,3.213780745190853
296,148,8,6.207220396500217,6,2,0.719578733386709,26,1.0285714285714285,37,shell_other,2+26i,3.7990830453592697,11.780690824948596,2.746416558467573
298,149,11,6.102451738177835,6,5,1.9825609494893983,28,1.0068027210884354,149,shell_other,5+28i,5.1649477611636065,13.700417098609861,4.0115784541355755
300,150,21,16.233586480335056,16,5,1.1829992743996447,0,2.6666666666666665,"3,5",mobius_3x5,5,22.408292107697136,0.0,4.055072155181365
302,151,9,6.154958991844001,6,3,1.146769011638246,2,1.0067114093959733,151,shell_other,3+2i,5.1586710638457705,18.29678833569524,3.1945624953231597
304,152,10,6.5014013198182825,6,4,1.3721154055066285,4,1.0588235294117647,19,shell_other,4+4i,3.808988782510875,20.230310610700588,3.447065803047246
306,153,15,13.155103140971303,13,2,0.5086569264647535,6,2.1333333333333333,"3,17",cone_3,2+6i,-4.140450861552435,5.723103769968495,2.57270099354643
308,154,8,8.25687071365158,8,0,-0.08939368703221696,8,1.3333333333333333,"7,11",shell_other,8i,-0.6212369284163384,21.91067454937484,2.0990080496823857
310,155,12,8.577666275465244,8,4,1.1685243969483852,10,1.3793103448275863,"5,31",ring_5,4+10i,4.165078263965828,3.178177674723675,2.958735217479787
312,156,17,13.625280029385321,13,4,0.9142501139962895,12,2.1818181818181817,"3,13",cone_3,4+12i,-10.974705621373346,3.614335198235071,3.0056526106742396
314,157,9,6.311447289122649,6,3,1.0701732120812886,14,1.0064516129032257,157,shell_other,3+14i,-5.503440053308345,17.169792295088303,3.1728368904048665
316,158,10,6.378795683936695,6,4,1.4337838475264177,16,1.0129870129870129,79,shell_other,4+16i,-5.506143092117135,14.82963315627644,3.5477002409993927
318,159,15,12.893963323411358,12,3,0.5865063450995387,18,2.0392156862745097,"3,53",cone_3,3+18i,-10.715351956704163,-3.4259037310588663,2.7047461266096207
320,160,11,8.465259498713719,8,3,0.8711909722438912,20,1.3333333333333333,5,ring_5,3+20i,4.173014234616252,-3.1644321703497607,2.7804663615953804
322,161,11,8.01409303818968,8,3,1.0547489006060433,22,1.2571428571428571,"7,23",shell_other,3+22i,-0.6112062659283577,10.184760829253161,3.2821368376738986
324,162,20,12.801415837873149,12,8,2.011954170637314,24,2.0,3,cone_3,8+24i,-4.222842548494123,-5.469528231467969,4.156529575997268
326,163,7,6.466444838484134,6,1,0.20981983295855888,26,1.0062111801242235,163,shell_other,1+26i,3.751221704037528,11.833846229597032,2.3652945437274284
